Datetime,Exchange,Symbol_Pair,Low,High,Open,Close,Volume_in_BTC,Volume_USD
2022-05-18,Coinbase,BTC/USD,28605.0,30675.92,30412.1,28672.94,28348.42643576,812832730.2869604
2022-05-17,Coinbase,BTC/USD,29415.01,30750.0,29839.89,30412.12,19833.30676705,603172905.3963366
2022-05-16,Coinbase,BTC/USD,29055.0,31293.31,31290.02,29839.89,22646.18507353,675759671.5137771
2022-05-15,Coinbase,BTC/USD,29436.06,31418.35,30041.9,31290.05,16440.89298551,514436363.5612571
2022-05-14,Coinbase,BTC/USD,28564.38,30287.58,29234.73,30041.88,15245.46818403,458002525.7284472
2022-05-13,Coinbase,BTC/USD,28662.7,30990.0,28941.95,29232.18,34643.05118869,1012691908.097
2022-05-12,Coinbase,BTC/USD,25338.53,30091.2,28977.75,28941.95,70702.60931849,2046271383.765272
2022-05-11,Coinbase,BTC/USD,27682.38,32185.9,31002.39,28972.34,61128.25296303,1771028528.4509125
2022-05-10,Coinbase,BTC/USD,29735.05,32645.49,30078.27,31002.39,55818.01900282,1730491994.1528368
2022-05-09,Coinbase,BTC/USD,30010.0,34231.54,34033.49,30078.27,55136.45332765,1658409130.0314553
2022-05-08,Coinbase,BTC/USD,33701.0,35499.93,35458.0,34027.91,22357.51152059,760779389.8465997
2022-05-07,Coinbase,BTC/USD,34785.0,36125.0,35999.1,35458.0,11372.45319184,403244445.2762628
2022-05-06,Coinbase,BTC/USD,35255.4,36664.4,36537.22,35999.1,28626.6487821,1030533592.171696
2022-05-05,Coinbase,BTC/USD,35568.0,39864.55,39669.56,36537.22,28832.99792317,1053477588.3784056
2022-05-04,Coinbase,BTC/USD,37651.38,40038.27,37719.58,39669.56,21513.95419034,853449096.5909439
2022-05-03,Coinbase,BTC/USD,37505.01,38643.48,38510.88,37719.59,17946.99450089,676953274.3058254
2022-05-02,Coinbase,BTC/USD,38041.0,39181.27,38469.49,38510.89,17946.98346298,691154305.9746418
2022-05-01,Coinbase,BTC/USD,37401.0,38675.37,37640.35,38473.05,7980.89975954,307049555.4937704
2022-04-30,Coinbase,BTC/USD,37590.0,38795.0,38592.27,37644.1,6931.07200088,260913967.5083268
2022-04-29,Coinbase,BTC/USD,38161.85,39926.8,39741.21,38593.1,14282.25993546,551196685.9152013
2022-04-28,Coinbase,BTC/USD,38883.83,40400.0,39251.02,39743.22,16718.83057299,664460161.6050676
2022-04-27,Coinbase,BTC/USD,37882.83,39470.0,38118.43,39251.11,20832.19649199,817686836.0487136
2022-04-26,Coinbase,BTC/USD,37700.0,40817.16,40440.9,38113.82,21648.1142493,825092329.8372554
2022-04-25,Coinbase,BTC/USD,38210.24,40605.3,39463.75,40439.22,20515.87532995,829645995.9604206
2022-04-24,Coinbase,BTC/USD,39000.0,39945.74,39459.63,39464.56,6436.45656858,254011926.4381195
2022-04-23,Coinbase,BTC/USD,39296.19,39993.82,39712.2,39465.87,6957.16710365,274570652.48092747
2022-04-22,Coinbase,BTC/USD,39174.8,40802.65,40483.38,39712.25,16871.32104798,669998119.2876438
2022-04-21,Coinbase,BTC/USD,39744.75,43109.47,41371.88,40480.81,17204.35326683,696446155.7674245
2022-04-20,Coinbase,BTC/USD,40900.0,42209.58,41501.56,41377.61,14609.28392672,604497252.6990887
