Datetime,Exchange,Symbol_Pair,Low,High,Open,Close,Volume_in_ADA,Volume_USD
2022-05-13,Coinbase,ADA/USD,0.4678,0.6069,0.4723,0.5281,194184455.29,102548810.838649
2022-05-12,Coinbase,ADA/USD,0.39,0.55,0.5161,0.4724,302112281.19,142717841.634156
2022-05-11,Coinbase,ADA/USD,0.4685,0.6629,0.6282,0.5161,311609866.59,160821852.147099
2022-05-10,Coinbase,ADA/USD,0.5829,0.7021,0.6028,0.6283,229219433.5,144018570.06805
2022-05-09,Coinbase,ADA/USD,0.6,0.754,0.7401,0.6018,213289138.31,128357403.434958
2022-05-08,Coinbase,ADA/USD,0.7256,0.7659,0.7598,0.7403,60522189.0,44804576.5167
2022-05-07,Coinbase,ADA/USD,0.7467,0.7859,0.7833,0.7598,40658639.31,30892434.147738
2022-05-06,Coinbase,ADA/USD,0.7622,0.7993,0.7883,0.7831,67535550.13,52887089.306803
2022-05-05,Coinbase,ADA/USD,0.7717,0.9052,0.8983,0.7884,115818008.88,91310918.200992
2022-05-04,Coinbase,ADA/USD,0.7676,0.899,0.7711,0.8983,77542412.72,69656349.346376
2022-05-03,Coinbase,ADA/USD,0.76,0.7994,0.7805,0.7711,38413769.32,29620857.522652
2022-05-02,Coinbase,ADA/USD,0.7636,0.7971,0.7895,0.7806,51891229.75,40506293.94285
2022-05-01,Coinbase,ADA/USD,0.7452,0.8002,0.7558,0.7896,63290070.87,49973839.958952
2022-04-30,Coinbase,ADA/USD,0.7357,0.818,0.805,0.7558,64218106.87,48536045.172346
2022-04-29,Coinbase,ADA/USD,0.7893,0.8494,0.8432,0.8049,59378862.25,47794046.225025
2022-04-28,Coinbase,ADA/USD,0.8257,0.8529,0.8405,0.8433,45973421.77,38769386.578641005
2022-04-27,Coinbase,ADA/USD,0.8192,0.856,0.8258,0.8405,50643834.45,42566142.85522501
2022-04-26,Coinbase,ADA/USD,0.8166,0.9032,0.898,0.8259,68602667.38,56658942.98914199
2022-04-25,Coinbase,ADA/USD,0.8267,0.9033,0.8859,0.8975,82751434.23,74269412.221425
2022-04-24,Coinbase,ADA/USD,0.8772,0.899,0.8869,0.886,21840374.53,19350571.83358
2022-04-23,Coinbase,ADA/USD,0.8821,0.9128,0.9064,0.8873,20009235.26,17754194.446198
2022-04-22,Coinbase,ADA/USD,0.8908,0.9247,0.9101,0.9064,33272639.38,30158320.334032
2022-04-21,Coinbase,ADA/USD,0.8922,0.9707,0.9367,0.9102,44822082.22,40797059.236644
2022-04-20,Coinbase,ADA/USD,0.9309,0.9755,0.9526,0.9367,39035207.21,36564278.593607
2022-04-19,Coinbase,ADA/USD,0.9272,0.957,0.9367,0.9524,37117160.63,35350383.784012005
2022-04-18,Coinbase,ADA/USD,0.8744,0.9382,0.9148,0.9367,56052555.88,52504429.092796
2022-04-17,Coinbase,ADA/USD,0.912,0.9625,0.9514,0.9148,22296536.11,20396871.233428
2022-04-16,Coinbase,ADA/USD,0.9374,0.963,0.9558,0.9514,20412257.97,19420222.232658
2022-04-15,Coinbase,ADA/USD,0.9293,0.9589,0.9322,0.9553,28190817.18,26930687.652054
2022-04-14,Coinbase,ADA/USD,0.9228,0.9854,0.9748,0.9325,43069932.87,40162712.401274994
2022-04-13,Coinbase,ADA/USD,0.9349,0.98,0.9545,0.9748,42403390.38,41334824.942424
2022-04-12,Coinbase,ADA/USD,0.9157,0.9836,0.9199,0.9545,62045907.53,59222818.737385005
2022-04-11,Coinbase,ADA/USD,0.917,1.0329,1.0274,0.9198,96928149.01,89154511.459398
