Datetime,Symbol_Pair,Open,High,Low,Close,Volume_USD,Volume_in_ADA
2022-04-16,ADA/USD,0.95563,0.96293,0.93781,0.95143,666899.7920880876,700944.67495043
2022-04-15,ADA/USD,0.93177,0.9592,0.93027,0.95559,516523.5918308356,540528.4607738
2022-04-14,ADA/USD,0.97442,0.986,0.92308,0.93276,769751.4367011156,825240.61570084
2022-04-13,ADA/USD,0.95434,0.97951,0.93473,0.9752,1018176.5669730438,1044069.49033331
2022-04-12,ADA/USD,0.92032,0.98211,0.9162,0.95361,2067629.6790026005,2168213.08396787
2022-04-11,ADA/USD,1.027,1.0334,0.91757,0.91961,3508270.7852786924,3814955.01927849
2022-04-10,ADA/USD,1.0446,1.0703,1.0238,1.028,550290.8700465218,535302.40276899
2022-04-09,ADA/USD,1.024,1.0478,1.0212,1.0448,1062422.3816904323,1016866.7512351
2022-04-08,ADA/USD,1.0884,1.1004,1.0193,1.0254,1031070.2955875573,1005529.83770973
2022-04-07,ADA/USD,1.0537,1.1011,1.04,1.0896,1999030.1463100447,1834645.87583521
2022-04-06,ADA/USD,1.1701,1.1736,1.0472,1.0522,3364294.0940458807,3197390.31937453
2022-04-05,ADA/USD,1.2124,1.2187,1.164,1.1705,3793234.626192784,3240695.9642826
2022-04-04,ADA/USD,1.1844,1.2456,1.1607,1.2115,4874398.780624861,4023441.00753187
2022-04-03,ADA/USD,1.1565,1.1994,1.1433,1.1852,2136203.735794573,1802399.37208452
2022-04-02,ADA/USD,1.1646,1.1948,1.1477,1.1554,2823082.389970514,2443380.98491476
2022-04-01,ADA/USD,1.1412,1.1757,1.1047,1.1653,1331895.785627783,1142963.85963081
2022-03-31,ADA/USD,1.1884,1.227,1.1335,1.1431,4540734.559203957,3972298.62584547
2022-03-30,ADA/USD,1.1906,1.2185,1.162,1.1898,1179990.1248643722,991755.02173842
2022-03-29,ADA/USD,1.1686,1.2424,1.1683,1.191,2490222.070833553,2090866.55821457
2022-03-28,ADA/USD,1.1831,1.2443,1.1565,1.1693,4787118.659985418,4094003.81423537
2022-03-27,ADA/USD,1.1522,1.1859,1.1045,1.1837,1950596.5067916843,1647880.80323704
2022-03-26,ADA/USD,1.0969,1.1588,1.0803,1.1531,1631815.5742421197,1415155.29810261
2022-03-25,ADA/USD,1.1307,1.1666,1.0726,1.097,1847537.4214116165,1684172.67220749
2022-03-24,ADA/USD,1.1081,1.1896,1.0779,1.1307,5164389.664142134,4567426.96041579
