Datetime,Exchange,Symbol_Pair,Open,High,Low,Close,Volume_USD,Volume_in_ETH,Volume_in_BTC,Volume_in_XRP,Volume_in_ADA,Volume_in_DOGE,Volume_in_LTC,Volume_in_SOL
2022-10-03,Bitfinex,SOL/USD,32.089,33.24,31.721,32.89,830019.7807818773,,,,,,,25236.23535366
2022-10-02,Bitfinex,SOL/USD,32.434,33.023,31.895,32.073,554877.1568648076,,,,,,,17300.44451298
2022-10-01,Bitfinex,SOL/USD,33.251,33.251,32.332,32.431,305355.47804356966,,,,,,,9415.54309283
2022-09-30,Bitfinex,SOL/USD,33.954,35.211,32.631,33.248,2743487.451577716,,,,,,,82515.86415958
2022-09-29,Bitfinex,SOL/USD,33.255,34.4,32.622,33.938,931195.9220899967,,,,,,,27438.14962844
2022-09-28,Bitfinex,SOL/USD,32.697,33.805,31.657,33.24,736865.0352732781,,,,,,,22168.02151845
2022-09-27,Bitfinex,SOL/USD,33.919,35.47,32.097,32.71,1207486.6178951955,,,,,,,36914.90730343
2022-09-26,Bitfinex,SOL/USD,32.336,33.972,31.88,33.892,612128.252751995,,,,,,,18061.14282875
2022-09-25,Bitfinex,SOL/USD,33.409,34.06,31.909,32.298,451904.1082229584,,,,,,,13991.70562335
2022-09-24,Bitfinex,SOL/USD,33.695,34.82,33.142,33.409,1077201.7542097175,,,,,,,32242.86133107
2022-09-23,Bitfinex,SOL/USD,32.422,33.975,31.242,33.69,600418.9091432937,,,,,,,17821.87323073
2022-09-22,Bitfinex,SOL/USD,30.669,32.846,30.603,32.426,323173.2709801559,,,,,,,9966.48587492
2022-09-21,Bitfinex,SOL/USD,31.442,33.472,30.021,30.722,1691392.76619697,,,,,,,55054.77397946
2022-09-20,Bitfinex,SOL/USD,32.635,32.91,31.314,31.421,469746.0902005677,,,,,,,14950.0681137
2022-09-19,Bitfinex,SOL/USD,31.124,33.108,30.461,32.648,1224976.2255625848,,,,,,,37520.71261831
2022-09-18,Bitfinex,SOL/USD,33.693,34.0,30.79,31.111,1067225.9526148613,,,,,,,34303.81384767
2022-09-17,Bitfinex,SOL/USD,32.267,33.9,32.251,33.72,640596.6629872248,,,,,,,18997.52855834
2022-09-16,Bitfinex,SOL/USD,33.111,33.274,31.482,32.263,782877.7557040086,,,,,,,24265.49780566
2022-09-15,Bitfinex,SOL/USD,34.075,34.878,32.467,33.095,1331121.423980268,,,,,,,40221.2244744
2022-09-14,Bitfinex,SOL/USD,32.98,34.338,32.716,34.129,479739.72931344,,,,,,,14056.65941907
2022-09-13,Bitfinex,SOL/USD,37.451,38.949,32.949,32.997,2049458.67450539,,,,,,,62110.45472332
2022-09-12,Bitfinex,SOL/USD,34.981,38.409,34.429,37.469,1647201.619382304,,,,,,,43961.71820391
2022-09-11,Bitfinex,SOL/USD,35.043,35.99,34.032,34.987,446987.3101304841,,,,,,,12775.81130507
2022-09-10,Bitfinex,SOL/USD,34.71,35.415,34.282,35.03,765113.5508911163,,,,,,,21841.66574054
2022-09-09,Bitfinex,SOL/USD,33.65,35.942,33.636,34.73,1362023.5113579712,,,,,,,39217.49240881
2022-09-08,Bitfinex,SOL/USD,32.702,34.0,31.991,33.616,1571493.5264559556,,,,,,,46748.37953522
2022-09-07,Bitfinex,SOL/USD,30.88,32.988,30.275,32.678,1757654.1014789145,,,,,,,53787.07697775
2022-09-06,Bitfinex,SOL/USD,32.178,33.898,30.429,30.88,1370709.4031006382,,,,,,,44388.25787243
2022-09-05,Bitfinex,SOL/USD,32.182,32.505,31.159,32.176,295029.12256878754,,,,,,,9169.22931902
2022-09-04,Bitfinex,SOL/USD,31.13,32.2,31.014,32.115,738260.7810417125,,,,,,,22988.03615263
2022-09-03,Bitfinex,SOL/USD,31.22,31.278,30.794,31.13,456021.80458094366,,,,,,,14648.94971349
2022-09-02,Bitfinex,SOL/USD,31.58,32.37,30.783,31.243,743923.8827688344,,,,,,,23810.89788973
2022-09-01,Bitfinex,SOL/USD,31.429,31.789,30.46,31.604,310833.2729857763,,,,,,,9835.25101208
2022-08-31,Bitfinex,SOL/USD,31.535,33.042,31.181,31.509,796131.0798917874,,,,,,,25266.78345526
