Datetime,Symbol_Pair,Open,High,Low,Close,Volume_USD,Volume_in_XRP
2022-06-02,XRP/USD,0.3982,0.40722,0.39097,0.40545,3286180.0562014054,8105019.25317895
2022-06-01,XRP/USD,0.42183,0.42651,0.38878,0.3982,3763429.2053712616,9451102.97682386
2022-05-31,XRP/USD,0.4186,0.43441,0.40638,0.42144,3199535.963754253,7591913.35363101
2022-05-30,XRP/USD,0.38912,0.41974,0.38664,0.41867,3730540.8605937087,8910456.59013951
2022-05-29,XRP/USD,0.38629,0.39053,0.37923,0.38911,2353573.2382428455,6048606.40498277
2022-05-28,XRP/USD,0.38206,0.38871,0.38052,0.38649,2126883.6934627765,5503075.61246805
2022-05-27,XRP/USD,0.39181,0.40325,0.37597,0.38145,4474037.142936837,11729026.45939661
2022-05-26,XRP/USD,0.40576,0.41071,0.37546,0.39188,6749733.790839749,17223981.29743735
2022-05-25,XRP/USD,0.4083,0.414,0.39451,0.4059,3189121.981640367,7856915.45119578
2022-05-24,XRP/USD,0.40479,0.41359,0.3902,0.4083,3588729.780607656,8789443.49891662
2022-05-23,XRP/USD,0.42156,0.42865,0.4,0.40471,2518720.8312136005,6223520.12852067
2022-05-22,XRP/USD,0.4142,0.42534,0.40968,0.42204,1983336.9264089663,4699405.09527288
2022-05-21,XRP/USD,0.4099,0.41839,0.40266,0.4142,1607004.0862537075,3879778.09332136
2022-05-20,XRP/USD,0.42045,0.44084,0.40147,0.4099,4176366.35387326,10188744.4593151
2022-05-19,XRP/USD,0.40505,0.42411,0.39033,0.4205,4392688.629483059,10446346.32457327
2022-05-18,XRP/USD,0.4375,0.44244,0.40302,0.40476,3498001.107463571,8642161.05213848
2022-05-17,XRP/USD,0.42302,0.43989,0.41679,0.43736,3042002.673644072,6955374.68822954
2022-05-16,XRP/USD,0.44779,0.44789,0.408,0.42301,7702001.795947597,18207611.63080683
2022-05-15,XRP/USD,0.42592,0.45009,0.41472,0.44774,4780355.8465919,10676633.41803703
2022-05-14,XRP/USD,0.42297,0.441,0.39542,0.42618,7089268.313308926,16634446.27459976
2022-05-13,XRP/USD,0.38591,0.46701,0.38143,0.42281,9633771.289692396,22785107.47071355
2022-05-12,XRP/USD,0.41764,0.42998,0.33661,0.38587,29645841.70985449,76828573.63841318
2022-05-11,XRP/USD,0.51372,0.52403,0.3653,0.41735,30403724.80196278,72849466.39981498
2022-05-10,XRP/USD,0.48725,0.53725,0.47261,0.51383,8415025.41096074,16377061.3061922
2022-05-09,XRP/USD,0.5668,0.57925,0.47121,0.48842,12818516.559202123,26244864.17264265
2022-05-08,XRP/USD,0.58131,0.5834,0.55737,0.5666,2982207.435763828,5263338.22055035
2022-05-07,XRP/USD,0.60271,0.60487,0.56948,0.58112,2073119.3318993044,3567454.79745888
2022-05-06,XRP/USD,0.59835,0.61655,0.58787,0.60279,7433518.052414742,12331853.63462357
2022-05-05,XRP/USD,0.64624,0.65806,0.5797,0.5985,11775533.82960458,19675077.40953146
2022-05-04,XRP/USD,0.60438,0.65044,0.60437,0.64597,6017437.241923503,9315350.93258743
2022-05-03,XRP/USD,0.61444,0.62841,0.59616,0.60511,2996413.4709749203,4951849.20258287
2022-05-02,XRP/USD,0.60713,0.63178,0.59849,0.61459,4562886.124846898,7424276.54997136
2022-05-01,XRP/USD,0.58478,0.6128,0.57586,0.60719,4848566.939832774,7985254.92816544
2022-04-30,XRP/USD,0.61201,0.62872,0.56557,0.58514,5535212.574978653,9459637.99258067
2022-04-29,XRP/USD,0.64316,0.64682,0.59847,0.6117,5673672.500145602,9275253.39242374
2022-04-28,XRP/USD,0.65213,0.65779,0.63332,0.64331,3057223.740190926,4752333.61861455
2022-04-27,XRP/USD,0.64254,0.6629,0.63679,0.65252,4022282.3413928626,6164228.43957712
2022-04-26,XRP/USD,0.69371,0.7068,0.62754,0.6428,8363452.322231303,13010971.25424907
2022-04-25,XRP/USD,0.69856,0.7002,0.646,0.69395,7685829.960056043,11075480.88487073
2022-04-24,XRP/USD,0.70606,0.71218,0.695,0.69875,1751597.8954560345,2506759.06326445
2022-04-23,XRP/USD,0.71824,0.72743,0.70253,0.7053,2401898.4096820457,3405498.95035027
2022-04-22,XRP/USD,0.73285,0.73894,0.7144,0.71819,3048622.1025570286,4244868.49240038
2022-04-21,XRP/USD,0.75182,0.76949,0.71797,0.73317,3121927.1050956976,4258121.72496924
2022-04-20,XRP/USD,0.77543,0.77543,0.7425,0.75199,4139699.4779106406,5504992.72318866
2022-04-19,XRP/USD,0.77012,0.78278,0.75921,0.77583,3405870.7751671574,4389970.45121632
2022-04-18,XRP/USD,0.7521,0.77056,0.72722,0.77056,5236625.815029279,6795870.29566715
2022-04-17,XRP/USD,0.78121,0.78644,0.74809,0.75211,3106375.963051621,4130214.94602069
2022-04-16,XRP/USD,0.78612,0.80048,0.76624,0.78121,2686533.5271431976,3438938.9884195
2022-04-15,XRP/USD,0.72646,0.79816,0.72646,0.78608,6693260.829224265,8514732.37994131
2022-04-14,XRP/USD,0.72346,0.74174,0.70839,0.72651,2912699.07974783,4009165.84733566
2022-04-13,XRP/USD,0.71539,0.72562,0.70173,0.72332,4252511.3852114845,5879156.36953421
2022-04-12,XRP/USD,0.69559,0.72658,0.69262,0.71496,5819666.149264331,8139848.59189931
2022-04-11,XRP/USD,0.75455,0.75605,0.68113,0.69546,7219202.441336243,10380471.11456625
2022-04-10,XRP/USD,0.76287,0.77358,0.75316,0.75482,2054441.8228648927,2721763.89452438
2022-04-09,XRP/USD,0.75538,0.76699,0.75361,0.76285,1686246.7892812965,2210456.56325791
2022-04-08,XRP/USD,0.78737,0.794,0.74647,0.75562,3636555.9641055693,4812678.28287442
2022-04-07,XRP/USD,0.76003,0.79138,0.75243,0.78755,3506626.187258588,4452575.94725235
2022-04-06,XRP/USD,0.81656,0.81843,0.75672,0.7603,8296514.488763652,10912159.00139899
2022-04-05,XRP/USD,0.82651,0.83643,0.81462,0.81656,4231588.537859,5182213.8457174
2022-04-04,XRP/USD,0.84276,0.84291,0.80404,0.82633,6219082.39306372,7526148.6247186
2022-04-03,XRP/USD,0.82453,0.85186,0.81416,0.8426,2366197.836552503,2808210.10746796
2022-04-02,XRP/USD,0.82827,0.84999,0.81838,0.82367,2933092.633417641,3561004.56908427
2022-04-01,XRP/USD,0.81523,0.83463,0.80726,0.82831,3937649.083615678,4753835.01782627
2022-03-31,XRP/USD,0.8611,0.87404,0.78101,0.8148,7111711.41417238,8728168.15681441
2022-03-30,XRP/USD,0.85802,0.87199,0.84542,0.86112,3105320.1087048594,3606140.96607309
2022-03-29,XRP/USD,0.86303,0.88527,0.84357,0.8581,5694159.413489888,6635776.03250191
2022-03-28,XRP/USD,0.85788,0.912,0.85157,0.86453,10597844.72145545,12258504.29881606
2022-03-27,XRP/USD,0.83314,0.858,0.82765,0.85776,3386414.08815976,3947973.894982
2022-03-26,XRP/USD,0.82458,0.83538,0.82098,0.83314,1865616.8405223112,2239259.71688109
2022-03-25,XRP/USD,0.84305,0.8461,0.819,0.82451,3756790.9601277346,4556392.23311753
2022-03-24,XRP/USD,0.83779,0.85,0.82675,0.84305,3767035.9269721005,4468342.24182682
2022-03-23,XRP/USD,0.83689,0.84608,0.81691,0.8379,2721483.985782261,3247981.84244213
2022-03-22,XRP/USD,0.83729,0.86489,0.82742,0.83699,3678274.7908329554,4394646.04216652
2022-03-21,XRP/USD,0.80574,0.8548,0.78758,0.8376,4451786.250526619,5314931.05363732
2022-03-20,XRP/USD,0.81983,0.82253,0.79522,0.80453,1829904.5011902254,2274501.26308556
2022-03-19,XRP/USD,0.79696,0.827,0.7914,0.81996,3918262.794846922,4778602.36456281
2022-03-18,XRP/USD,0.79445,0.80091,0.77648,0.7968,3644225.316096372,4573575.94891613
2022-03-17,XRP/USD,0.79282,0.80217,0.78355,0.79419,2428674.0650997665,3058051.68171315
2022-03-16,XRP/USD,0.76683,0.79509,0.75827,0.79225,3453472.3138404,4359068.87199798
2022-03-15,XRP/USD,0.77576,0.77778,0.74234,0.76691,1992902.4835792386,2598613.24481261
2022-03-14,XRP/USD,0.76031,0.77872,0.74557,0.77564,4218163.258462527,5438300.31775376
2022-03-13,XRP/USD,0.78621,0.80551,0.75108,0.76007,4586766.40473641,6034663.12936494
2022-03-12,XRP/USD,0.80336,0.84941,0.77872,0.78668,7710838.59166799,9801747.33267401
2022-03-11,XRP/USD,0.7366,0.814,0.72511,0.80286,5634434.234540358,7017953.60902319
2022-03-10,XRP/USD,0.76669,0.78,0.7229,0.73695,5030687.474805932,6826361.99851541
2022-03-09,XRP/USD,0.72146,0.7759,0.72072,0.76571,3823508.43280615,4993415.82688766
2022-03-08,XRP/USD,0.72021,0.7314,0.71366,0.72153,2257444.4677574113,3128691.07002815
2022-03-07,XRP/USD,0.72561,0.75481,0.70356,0.72036,5502918.4880446065,7639122.78311484
2022-03-06,XRP/USD,0.7543,0.75983,0.72158,0.72455,4040090.3795540617,5575999.41971439
2022-03-05,XRP/USD,0.71314,0.76963,0.70519,0.75448,4014414.1765312785,5320769.50552868
2022-03-04,XRP/USD,0.75179,0.75558,0.69493,0.71314,5408933.7768240785,7584673.10321126
2022-03-03,XRP/USD,0.76983,0.79047,0.7342,0.75282,4096712.622354449,5441822.24483203
2022-03-02,XRP/USD,0.78487,0.7853,0.75619,0.76961,3861632.049757222,5017647.96423802
2022-03-01,XRP/USD,0.78219,0.80393,0.75752,0.78444,7490853.570470377,9549300.86491048
2022-02-28,XRP/USD,0.72193,0.79463,0.70833,0.7822,6629157.956008998,8475016.56355024
2022-02-27,XRP/USD,0.75179,0.76816,0.70415,0.72244,5803544.624049092,8033254.83645575
2022-02-26,XRP/USD,0.76995,0.7968,0.74102,0.75093,11852866.958490713,15784250.14114593
2022-02-25,XRP/USD,0.69732,0.78074,0.68306,0.77091,11550924.329709414,14983492.66413643
2022-02-24,XRP/USD,0.69777,0.72263,0.6231,0.697,15052198.39158208,21595693.53168161
2022-02-23,XRP/USD,0.72219,0.74495,0.69348,0.69722,6441094.348322529,9238252.41433483
2022-02-22,XRP/USD,0.70324,0.7276,0.66886,0.7219,7178917.656141917,9944476.59806333
2022-02-21,XRP/USD,0.77822,0.80275,0.69683,0.70234,8966865.858881546,12767129.67918892
2022-02-20,XRP/USD,0.82216,0.8237,0.76515,0.77802,6476881.592283005,8324826.60122234
2022-02-19,XRP/USD,0.78454,0.85424,0.77039,0.822,16186140.93405698,19691169.01953404
2022-02-18,XRP/USD,0.7691,0.80566,0.75623,0.78565,12481225.41050887,15886495.78121157
2022-02-17,XRP/USD,0.83775,0.8455,0.75361,0.7688,12777724.08998917,16620348.71226479
2022-02-16,XRP/USD,0.85226,0.85358,0.80888,0.83695,8931714.88664462,10671742.50151696
2022-02-15,XRP/USD,0.80178,0.8595,0.79631,0.85186,8217176.666570766,9646158.60184862
2022-02-14,XRP/USD,0.80656,0.81387,0.77862,0.8014,8117574.053891228,10129241.39492292
2022-02-13,XRP/USD,0.82277,0.84789,0.79291,0.8061,9429099.379244434,11697183.20213923
2022-02-12,XRP/USD,0.76005,0.85284,0.74684,0.82287,12010862.683267292,14596306.443626931
2022-02-11,XRP/USD,0.82657,0.83435,0.75101,0.75973,16368114.491868032,21544646.77170578
2022-02-10,XRP/USD,0.87142,0.89881,0.82199,0.82569,13597203.429183438,16467685.72852213
