Datetime,Symbol_Pair,Open,High,Low,Close,Volume_USD,Volume_in_LTC
2021-10-23,LTC/USD,190.95,198.06,188.84,196.41,9960535.81239716,50712.97699912
2021-10-22,LTC/USD,196.88,201.35,187.21,190.93,29898636.327339552,156594.7537178
2021-10-21,LTC/USD,207.34,214.65,195.15,196.73,20053108.047531858,101932.13057251999
2021-10-20,LTC/USD,188.65,209.43,185.67,207.41,15698648.702294119,75688.96727397
2021-10-19,LTC/USD,185.68,191.82,182.32,188.82,9268275.268043892,49085.2413306
2021-10-18,LTC/USD,183.78,187.64,178.61,185.52,8888616.911641685,47911.90659574
2021-10-17,LTC/USD,185.96,188.05,176.31,183.82,6227644.472968918,33879.03641045
2021-10-16,LTC/USD,189.61,192.67,185.06,185.99,7231690.902945899,38882.14905611
2021-10-15,LTC/USD,181.48,192.99,176.62,189.61,23025047.736094475,121433.72045828
2021-10-14,LTC/USD,177.68,187.01,177.13,181.39,20337936.59957188,112122.70025675
2021-10-13,LTC/USD,172.55,179.67,167.73,177.69,5042653.97316069,28378.940701
2021-10-12,LTC/USD,179.09,179.09,166.37,172.63,14398013.376696777,83403.8891079
2021-10-11,LTC/USD,174.75,185.26,172.41,179.24,9625684.145688877,53702.76805227
2021-10-10,LTC/USD,180.0,183.99,174.3,174.86,12471396.15871452,71322.17864986
2021-10-09,LTC/USD,175.91,183.94,174.44,179.93,13727819.702620806,76295.33542278
2021-10-08,LTC/USD,178.64,183.57,174.46,175.77,31131573.40674568,177115.3974327
2021-10-07,LTC/USD,178.56,187.22,173.58,178.43,25853261.504227027,144893.01969527
2021-10-06,LTC/USD,173.88,183.23,163.97,178.5,26961137.178472243,151042.78531357
2021-10-05,LTC/USD,167.6,175.45,166.69,173.9,19567452.54609865,112521.29123691
2021-10-04,LTC/USD,170.59,170.8,161.48,167.6,10253115.989370327,61176.10972178
2021-10-03,LTC/USD,169.02,175.0,165.93,170.56,9217946.63416536,54045.18429975
2021-10-02,LTC/USD,166.28,173.6,164.64,169.11,9430714.867397679,55766.7486689
2021-10-01,LTC/USD,153.31,168.17,151.2,166.26,13226676.707518494,79554.17242583
2021-09-30,LTC/USD,144.82,154.76,143.96,153.19,11816163.932948472,77134.04225438
2021-09-29,LTC/USD,140.49,150.37,139.75,144.79,7944850.292096873,54871.54010703
2021-09-28,LTC/USD,145.03,149.0,140.11,140.68,11950437.893686177,84947.66771173
2021-09-27,LTC/USD,150.74,155.0,144.85,145.06,12227197.11634615,84290.6184775
2021-09-26,LTC/USD,151.13,153.53,142.06,150.88,22289069.943513326,147727.13377196
2021-09-25,LTC/USD,152.25,156.25,148.82,151.11,12181478.43682043,80613.31769453001
2021-09-24,LTC/USD,163.88,166.65,141.93,152.23,21091931.200471997,138553.05262085
2021-09-23,LTC/USD,161.48,165.0,157.21,164.1,8080365.569902476,49240.49707436
2021-09-22,LTC/USD,148.51,161.9,145.28,161.5,14076324.86462375,87159.9062825
2021-09-21,LTC/USD,157.25,162.4,144.81,148.44,20949712.840349123,141132.5305871
2021-09-20,LTC/USD,175.67,175.96,153.63,157.34,26457721.494370833,168156.35880495
2021-09-19,LTC/USD,181.36,181.69,172.55,175.64,9297730.12987515,52936.29087836
2021-09-18,LTC/USD,180.11,185.86,177.95,181.43,6968991.849868913,38411.46364917
2021-09-17,LTC/USD,185.39,190.69,177.65,179.99,17127195.671995882,95156.37353184
2021-09-16,LTC/USD,189.11,195.4,181.66,185.32,19681002.938630998,106200.10219421
2021-09-15,LTC/USD,183.14,191.99,179.81,189.13,12281051.898142949,64934.44666707
2021-09-14,LTC/USD,179.32,189.0,176.11,182.83,15607518.038856532,85366.28583305
2021-09-13,LTC/USD,183.0,236.49,170.82,179.25,54474912.25145603,303904.67085889
2021-09-12,LTC/USD,178.49,186.12,175.17,183.0,5039865.237171779,27540.24719766
2021-09-11,LTC/USD,174.25,186.0,173.43,178.39,7219122.158929022,40468.19978098
2021-09-10,LTC/USD,180.43,187.45,170.64,174.13,7358981.1707966635,42261.42060987
2021-09-09,LTC/USD,179.69,188.66,176.6,180.42,11698122.887416812,64838.28227146
