Datetime,Symbol_Pair,Open,High,Low,Close,Volume_USD,Volume_in_BTC
2022-01-30,BTC/USD,38201.60978983,38403.0,37386.0,37914.38083181,77750763.9249904,2050.69322561
2022-01-29,BTC/USD,37748.0,38898.0,37347.69182748,38179.91123381,135401967.24606606,3546.41912122
2022-01-28,BTC/USD,37187.0,38055.0,36197.0,37759.82718923,173079893.40047628,4583.70459518
2022-01-27,BTC/USD,36847.6476148,37275.0,35504.0,37194.0,258159853.79731116,6940.90051614
2022-01-26,BTC/USD,36995.0,38935.0,36291.6959393,36828.54217638,392078971.2773454,10646.06275751
2022-01-25,BTC/USD,36706.0,37584.0,35751.0,36986.0,327817327.37645614,8863.28144099
2022-01-24,BTC/USD,36302.0,37596.0,32937.0,36702.0,847978447.0339584,23104.4206592
2022-01-23,BTC/USD,35108.0,36556.0,34654.0,36308.0,316458961.78325635,8715.95686304
2022-01-22,BTC/USD,36463.16076078,36861.57424928,33854.97502491,35104.74628423,617224811.1979212,17582.37493587
2022-01-21,BTC/USD,40690.34893641,41132.0,35471.0,36467.0,591653999.9281127,16224.36723416
2022-01-20,BTC/USD,41677.0,43591.0,40568.39019693,40692.20981196,208033254.6091178,5112.3607091
2022-01-19,BTC/USD,42373.0,42596.0,41158.0,41676.0,268913341.63605237,6452.4748449
2022-01-18,BTC/USD,42221.0,42690.0,41204.0,42376.97315245,183937769.69955578,4340.51221728
2022-01-17,BTC/USD,43084.0,43194.0,41465.0,42223.0,123326960.50675976,2920.84789112
2022-01-16,BTC/USD,43074.0,43487.39375881,42603.0,43084.0,68163742.10797577,1582.11266614
2022-01-15,BTC/USD,43090.0,43816.0,42575.0,43069.0,137627302.71973318,3195.50727251
2022-01-14,BTC/USD,42585.0,43468.0,41736.0,43091.0,185934390.1792311,4314.92400221
2022-01-13,BTC/USD,43909.0,44445.0,42334.0,42583.0,159317414.3433985,3741.3384295
2022-01-12,BTC/USD,42744.0,44315.0,42468.0,43909.0,165525257.69950995,3769.73417066
2022-01-11,BTC/USD,41839.0,43119.19618143,41265.0,42741.74663693,204614301.93218485,4787.22368719
2022-01-10,BTC/USD,41861.0,42270.0,39672.88479242,41847.0,399779596.0530489,9553.3633487
2022-01-09,BTC/USD,41687.21240698,42801.0,41240.0,41856.0,155598886.22481793,3717.48103557
2022-01-08,BTC/USD,41555.41669034,42319.82508013,40556.0,41682.0,172815070.7955205,4146.03595786
2022-01-07,BTC/USD,43101.35518617,43135.77081015,40586.0,41548.0,307629482.27475566,7404.19472116
2022-01-06,BTC/USD,43457.0,43781.0,42412.0,43103.47161129,146771716.74313265,3405.10198498
2022-01-05,BTC/USD,45830.0,47058.0,42505.0,43455.0,301235688.81957823,6932.12953215
2022-01-04,BTC/USD,46449.61555627,47671.86280513,45568.0,45834.0,173639924.98835802,3788.45234953
2022-01-03,BTC/USD,47304.23510549,47578.0,45689.0,46448.0,119740625.84581168,2577.95009141
2022-01-02,BTC/USD,47746.0,48012.0,46648.0,47302.0,87259964.83404952,1844.74155076
2022-01-01,BTC/USD,46209.0,47957.0,46203.0,47747.0,103961332.17483784,2177.33746989
2021-12-31,BTC/USD,47148.0,48650.0,45664.14362225,46218.0,196538079.5811033,4252.41420185
2021-12-30,BTC/USD,46464.0,47911.0,45947.0,47156.0,150796169.0805341,3197.81510477
2021-12-29,BTC/USD,47556.0,48166.0,46079.0,46465.0,191620482.9718525,4123.9746685
2021-12-28,BTC/USD,50713.70862195,50714.0,47321.0,47556.0,258291251.7041052,5431.3073367
2021-12-27,BTC/USD,50805.0,52085.0,50482.47485727,50690.0,178365794.6257501,3518.75704529
2021-12-26,BTC/USD,50435.06967051,51300.0,49433.0,50797.0,147518338.8748527,2904.0758091
2021-12-25,BTC/USD,50830.0,51171.0,50182.0,50435.2441132,100374317.64274427,1990.162225
2021-12-24,BTC/USD,50834.0,51842.0,50405.0,50830.0,131918410.24384229,2595.28644981
2021-12-23,BTC/USD,48625.0,51413.12295813,48078.0,50833.0,225269220.26029873,4431.55470384
2021-12-22,BTC/USD,48926.48057156,49588.0,48459.75038112,48626.0,152816860.6638475,3142.6985699800002
2021-12-21,BTC/USD,46915.0,49369.0,46683.0,48923.0,230580251.5843661,4713.12576057
2021-12-20,BTC/USD,46698.0,47541.0,45600.0,46901.0,265153910.1916613,5653.48095332
2021-12-19,BTC/USD,46869.78960743,48364.0,46458.0,46704.0,244546599.03991634,5236.09538883
2021-12-18,BTC/USD,46163.0,47483.0,45523.0,46873.0,175352411.13367328,3741.01105399
2021-12-17,BTC/USD,47659.0,48038.0,45539.0,46180.73115089,270395837.40523344,5855.16579462
2021-12-16,BTC/USD,48901.82763469,49480.0,47543.0,47665.0,168076224.64565575,3526.19793655
2021-12-15,BTC/USD,48392.0,49520.0,46600.0,48901.0,344032694.32611585,7035.28955085
2021-12-14,BTC/USD,46757.79747071,48684.0,46356.20997454,48399.0,265029063.94065893,5475.92024506
2021-12-13,BTC/USD,50116.77552521,50234.0,45788.0,46748.99252241,407577302.2446888,8718.4189488
2021-12-12,BTC/USD,49427.0,50800.0,48690.0,50123.0,194029027.7085083,3871.0577521
2021-12-11,BTC/USD,47195.0,49522.0,46872.0,49426.0,261465555.2660684,5290.0407734
2021-12-10,BTC/USD,47598.0,50212.0,47051.0,47208.0,385703687.3730768,8170.3034946
2021-12-09,BTC/USD,50506.0,50844.0,47408.0,47610.10671846,252540320.5247552,5304.34266863
2021-12-08,BTC/USD,50641.0,51275.0,48726.0,50503.43470097,203766252.1471969,4034.70087438
2021-12-07,BTC/USD,50504.57178257,51970.0,50095.0,50634.0,197782671.2891742,3906.1237763
2021-12-06,BTC/USD,49475.49285585,50988.0,47167.0,50513.0,406483509.94157887,8047.10688222
2021-12-05,BTC/USD,49243.0,49769.0,47860.0,49474.0,236560725.81910488,4781.51606539
2021-12-04,BTC/USD,53667.0,53879.0,41634.0,49249.0,1111884407.7477484,22576.79156425
2021-12-03,BTC/USD,56520.0,57599.0,51333.0,53687.0,576135836.0727246,10731.38443334
2021-12-02,BTC/USD,57239.0,57390.0,55842.0,56517.0,249079335.39207128,4407.15776478
2021-12-01,BTC/USD,56988.82934176,59055.0,56505.0,57240.0,296573382.5398344,5181.22611006
2021-11-30,BTC/USD,57841.0,59174.0,55899.0,56966.0,368857962.6672431,6475.05464079
2021-11-29,BTC/USD,57329.0,58888.0,56764.0,57840.0,293082979.0355496,5067.13310919
